experiment_id,initialization_time_stamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
28621cb8-c484-4dfc-8e5d-9c058c22133b,2022-11-21-20-05-32,2022-11-21-20-05-32,True,2022-11-21 20:41:53.996269,,,Pipeline has been started,experiment.csv,,,2022-11-21 20:41:54.012227
28621cb8-c484-4dfc-8e5d-9c058c22133b,2022-11-21-20-05-32,2022-11-21-20-05-32,False,2022-11-21 20:41:53.996269,2022-11-21 20:44:39.605471,0 days 00:02:45.609202,Pipeline Has been completed,experiment.csv,0.6056082859814079,True,2022-11-21 20:44:39.605471
fc960b4c-4da0-4cfd-862d-7a8f55d36cd7,2022-11-21-20-05-32,2022-11-21-20-05-32,True,2022-11-21 21:04:40.111074,,,Pipeline has been started,experiment.csv,,,2022-11-21 21:04:40.125098
fc960b4c-4da0-4cfd-862d-7a8f55d36cd7,2022-11-21-20-05-32,2022-11-21-20-05-32,False,2022-11-21 21:04:40.111074,2022-11-21 21:06:38.783160,0 days 00:01:58.672086,Pipeline Has been completed,experiment.csv,0.6056369818904446,True,2022-11-21 21:06:38.783160
